Celsius,    0,      1,      0
Fahrenheit, 0,      1.8,    32
Kelvin,     273.15, 1,      0
Rankine,    273.15, 1.8,    0
Delisle,    -100,   -1.5,   0
Newton,     0,      0.33,   0
Reaumur,    0,      0.8,    0
Romer,      0,      0.525,  7.5
